Numdomains,Label,ElapsedTime,Scalability,ExpectedTime,Ideal
1,create_domain,1.53849998696387E-05,1,1.53849998696387E-05,1
1,create_mesh,2.58657402199992,1,2.58657402199992,1
1,compute_geometric_properties,0.032423416000029,1,0.032423416000029,1
1,create_dofs,0.000781527000072,1,0.000781527000072,1
1,assemble,0.037851073000184,1,0.037851073000184,1
1,solve,0.089508446000082,1,0.089508446000082,1
1,Total,2.74715386900016,1,2.74715386900016,1
4,create_domain,1.64630000654142E-05,0.934519820719663,3.84624996740968E-06,4
4,create_mesh,4.22578804099999,0.612092702450792,0.646643505499981,4
4,compute_geometric_properties,0.061054431000002,0.531057541098492,0.008105854000007,4
4,create_dofs,0.00223774899996,0.349246944177367,0.000195381750018,4
4,assemble,0.014117232999979,2.6811963081037,0.009462768250046,4
4,solve,0.382166954000013,0.234212940347738,0.022377111500021,4
4,Total,4.63422114099967,0.592797319207679,0.68678846725004,4
16,create_domain,3.97109999994427E-05,0.387424136129904,9.61562491852419E-07,16
16,create_mesh,5.13633553299997,0.503583538377056,0.161660876374995,16
16,compute_geometric_properties,0.071058348000179,0.456292848237158,0.002026463500002,16
16,create_dofs,0.011731013000144,0.066620589378116,4.88454375044967E-05,16
16,assemble,0.004159858000094,9.09912622001311,0.002365692062511,16
16,solve,0.474656648000064,0.188575144532832,0.005594277875005,16
16,Total,5.48164734699958,0.501154798019583,0.17169711681251,16
